paper,title,first,last,email,conflicttype
1,Title 1,Last1,First1,pc-member1@xyz.com,Institutional
2,Title 2,Last1,First1,pc-member1@xyz.com,Institutional
2,Title 2,Last2,First2,pc-member2@xyz.com,Institutional
2,Title 2,Last3,First3,pc-member3@xyz.com,Institutional
2,Title 2,Last4,First4,pc-member4@xyz.com,Institutional
2,Title 2,Last5,First5,pc-member5@xyz.com,Institutional
2,Title 2,Last6,First6,pc-chair2@xyz.edu,Institutional
2,Title 2,Last7,First7,pc-chair1@xyz.edu,Institutional
3,Title 3,Last1,First1,pc-member1@xyz.com,Institutional
3,Title 3,Last2,First2,pc-member2@xyz.com,Institutional
3,Title 3,Last3,First3,pc-member3@xyz.com,Institutional
3,Title 3,Last4,First4,pc-member4@xyz.com,Institutional
3,Title 3,Last5,First5,pc-member5@xyz.com,Institutional
3,Title 3,Last7,First7,pc-chair1@xyz.edu,Institutional
4,Title 4,Last1,First1,pc-member1@xyz.com,Institutional
4,Title 4,Last2,First2,pc-member2@xyz.com,Institutional
4,Title 4,Last5,First5,pc-member5@xyz.com,Institutional
4,Title 4,Last8,First8,pc-member8@xyz.com,Institutional
4,Title 4,Last9,First9,pc-member9@xyz.com,Institutional
